round,eq_q,eq_p,eq_surplus,actual_trades,actual_total_profit,market_efficiency,avg_price,abs_diff_price,abs_diff_quantity,role_strat_perf
10,100,0.5002260928652005,51.210631665635816,81,45.64303663685784,0.8912804851709332,0.5475533015451653,0.04732720867996487,19,"{('buyer', 'random-buyer'): {'profit': 3.869388609621068, 'count': 1}, ('buyer', 'zip-buyer'): {'profit': 3.8908535820102776, 'count': 1}, ('buyer', 'gd-buyer'): {'profit': 2.6757255954987142, 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(3.1450208146153336), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(5.296886302708254), 'count': 1}, ('seller', 'random-seller'): {'profit': np.float64(6.308647800247642), 'count': 1}, ('seller', 'zip-seller'): {'profit': np.float64(6.268359264243618), 'count': 1}, ('seller', 'gd-seller'): {'profit': np.float64(5.895899431749079), 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(7.482990782576166), 'count': 1}, ('seller', 'ppo-seller'): {'profit': np.float64(0.8092644535876854), 'count': 1}}"
11,100,0.4998751768025798,48.85455693965966,82,42.02977025412652,0.860303989780064,0.5182888469730748,0.018413670170494945,18,"{('buyer', 'random-buyer'): {'profit': 4.05029272296459, 'count': 1}, ('buyer', 'zip-buyer'): {'profit': 5.75959802784273, 'count': 1}, ('buyer', 'gd-buyer'): {'profit': 4.674376554398127, 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(5.64096059506662), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(0.5431403916277968), 'count': 1}, ('seller', 'random-seller'): {'profit': np.float64(4.029008266737043), 'count': 1}, ('seller', 'zip-seller'): {'profit': 5.458307782295211, 'count': 1}, ('seller', 'gd-seller'): {'profit': 4.84598822312792, 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(5.823502670226464), 'count': 1}, ('seller', 'ppo-seller'): {'profit': np.float64(1.2045950198400177), 'count': 1}}"
12,100,0.49990580185885636,46.76275228628559,80,38.13215143522433,0.815438561053379,0.4858908642116204,0.014014937647235937,20,"{('buyer', 'random-buyer'): {'profit': 4.319198024961035, 'count': 1}, ('buyer', 'zip-buyer'): {'profit': 5.467340743460088, 'count': 1}, ('buyer', 'gd-buyer'): {'profit': 3.901176537065557, 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(5.68339086934593), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(0.44356518856930993), 'count': 1}, ('seller', 'random-seller'): {'profit': 4.168609767887555, 'count': 1}, ('seller', 'zip-seller'): {'profit': 5.371343692312967, 'count': 1}, ('seller', 'gd-seller'): {'profit': 4.562207441326264, 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(4.215319170295621), 'count': 1}, ('seller', 'ppo-seller'): {'profit': 0.0, 'count': 1}}"
13,100,0.5026156729500587,49.56810787731305,82,44.71667708560763,0.9021259636596723,0.5503755082009104,0.0477598352508517,18,"{('buyer', 'random-buyer'): {'profit': np.float64(3.1584108883294375), 'count': 1}, ('buyer', 'zip-buyer'): {'profit': 4.825934502490419, 'count': 1}, ('buyer', 'gd-buyer'): {'profit': np.float64(3.4931674084777753), 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(3.3526036462054933), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(4.355932588848779), 'count': 1}, ('seller', 'random-seller'): {'profit': np.float64(5.549414844833486), 'count': 1}, ('seller', 'zip-seller'): {'profit': np.float64(6.349840297610605), 'count': 1}, ('seller', 'gd-seller'): {'profit': np.float64(5.27694022002197), 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(6.894261300790678), 'count': 1}, ('seller', 'ppo-seller'): {'profit': np.float64(1.4601713879989902), 'count': 1}}"
14,100,0.5022542342654861,47.692308179867624,79,38.54874728320857,0.8082801767074291,0.524720305284441,0.022466071018954925,21,"{('buyer', 'random-buyer'): {'profit': 4.329588806042683, 'count': 1}, ('buyer', 'zip-buyer'): {'profit': 5.3166257016501675, 'count': 1}, ('buyer', 'gd-buyer'): {'profit': 4.714754400133854, 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(4.352437513677044), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': 0.0, 'count': 1}, ('seller', 'random-seller'): {'profit': 5.346905869242695, 'count': 1}, ('seller', 'zip-seller'): {'profit': 5.663657234828262, 'count': 1}, ('seller', 'gd-seller'): {'profit': np.float64(4.159812969176136), 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(4.66496478845773), 'count': 1}, ('seller', 'ppo-seller'): {'profit': 0.0, 'count': 1}}"
15,100,0.49841014875931566,44.9673268006027,81,39.17344187760368,0.8711534499551047,0.5643210502217825,0.06591090146246681,19,"{('buyer', 'random-buyer'): {'profit': 2.501434719460525, 'count': 1}, ('buyer', 'zip-buyer'): {'profit': 2.7496021047338326, 'count': 1}, ('buyer', 'gd-buyer'): {'profit': 3.653598003013871, 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(2.832225957928296), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(4.8870470346051675), 'count': 1}, ('seller', 'random-seller'): {'profit': np.float64(4.76415613070824), 'count': 1}, ('seller', 'zip-seller'): {'profit': np.float64(6.118930570378106), 'count': 1}, ('seller', 'gd-seller'): {'profit': np.float64(4.57765314692474), 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(6.370035510890423), 'count': 1}, ('seller', 'ppo-seller'): {'profit': np.float64(0.718758698960482), 'count': 1}}"
16,100,0.5016675703778622,48.58374222890345,100,48.58374222890345,1.0,0.5204862482714796,0.018818677893617353,0,"{('buyer', 'random-buyer'): {'profit': np.float64(5.023843142933303), 'count': 1}, ('buyer', 'zip-buyer'): {'profit': np.float64(5.013456222522301), 'count': 1}, ('buyer', 'gd-buyer'): {'profit': np.float64(4.773871000462767), 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(4.289872045791909), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(3.9749814993966357), 'count': 1}, ('seller', 'random-seller'): {'profit': np.float64(5.0131699443671325), 'count': 1}, ('seller', 'zip-seller'): {'profit': np.float64(5.716405868588423), 'count': 1}, ('seller', 'gd-seller'): {'profit': np.float64(4.886126875954853), 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(4.613348550378465), 'count': 1}, ('seller', 'ppo-seller'): {'profit': np.float64(5.278667078507665), 'count': 1}}"
17,100,0.49712817331109327,50.333913118487686,89,47.80369745814553,0.949731393734758,0.5029333104719435,0.005805137160850182,11,"{('buyer', 'random-buyer'): {'profit': 5.2144038569833615, 'count': 1}, ('buyer', 'zip-buyer'): {'profit': 5.320001641826873, 'count': 1}, ('buyer', 'gd-buyer'): {'profit': 4.893999074949883, 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(2.6644519588703264), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(5.76094576819696), 'count': 1}, ('seller', 'random-seller'): {'profit': np.float64(4.698852996601274), 'count': 1}, ('seller', 'zip-seller'): {'profit': 5.394102957619381, 'count': 1}, ('seller', 'gd-seller'): {'profit': np.float64(4.173339455669156), 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(5.571686706314109), 'count': 1}, ('seller', 'ppo-seller'): {'profit': np.float64(4.111913041114205), 'count': 1}}"
18,100,0.5064005155402962,49.75197579300945,100,49.751975793009464,1.0000000000000002,0.514395944871697,0.00799542933140085,0,"{('buyer', 'random-buyer'): {'profit': np.float64(5.467556666781124), 'count': 1}, ('buyer', 'zip-buyer'): {'profit': np.float64(5.344172771621018), 'count': 1}, ('buyer', 'gd-buyer'): {'profit': np.float64(3.674276276277981), 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': 5.3459127306721275, 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(4.8164818139652885), 'count': 1}, ('seller', 'random-seller'): {'profit': np.float64(4.327395285178874), 'count': 1}, ('seller', 'zip-seller'): {'profit': np.float64(5.241454575163152), 'count': 1}, ('seller', 'gd-seller'): {'profit': np.float64(4.177791556645091), 'count': 1}, ('seller', 'kaplan-seller'): {'profit': 6.02608762235889, 'count': 1}, ('seller', 'ppo-seller'): {'profit': np.float64(5.330846494345912), 'count': 1}}"
19,100,0.5036609908411768,49.04289170680814,81,44.120520491558835,0.8996313014192435,0.5673124683279372,0.06365147748676048,19,"{('buyer', 'random-buyer'): {'profit': 4.160044201231034, 'count': 1}, ('buyer', 'zip-buyer'): {'profit': 4.175897813546713, 'count': 1}, ('buyer', 'gd-buyer'): {'profit': 3.979204161005728, 'count': 1}, ('buyer', 'kaplan-buyer'): {'profit': np.float64(3.153279673714245), 'count': 1}, ('buyer', 'ppo-buyer'): {'profit': np.float64(3.6144074798012156), 'count': 1}, ('seller', 'random-seller'): {'profit': np.float64(5.516823789228904), 'count': 1}, ('seller', 'zip-seller'): {'profit': np.float64(6.072991091100954), 'count': 1}, ('seller', 'gd-seller'): {'profit': np.float64(5.214370093946262), 'count': 1}, ('seller', 'kaplan-seller'): {'profit': np.float64(7.401094365549908), 'count': 1}, ('seller', 'ppo-seller'): {'profit': np.float64(0.8324078224338738), 'count': 1}}"
