round,eq_q,eq_p,eq_surplus,actual_trades,actual_total_profit,market_efficiency,avg_price,abs_diff_price,abs_diff_quantity,role_strat_perf
0,50,0.504585352266267,24.966988169729152,49,24.855707646772466,0.9955428935921231,0.5405174284719423,0.03593207620567529,1,"{('buyer', 'random-buyer'): {'profit': 8.540271468730028, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 3.039474716425415, 'count': 1}, ('seller', 'random-seller'): {'profit': 13.275961461617023, 'count': 5}}"
1,50,0.49667177650032396,22.185816298200812,50,22.185816298200812,1.0,0.47534475016618477,0.021327026334139187,0,"{('buyer', 'random-buyer'): {'profit': 7.8523190274396075, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 3.6449536362518375, 'count': 1}, ('seller', 'random-seller'): {'profit': 10.688543634509369, 'count': 5}}"
2,50,0.4940324705990986,26.1356141342386,46,25.369898783578336,0.9707022246836301,0.5009965518618179,0.006964081262719302,4,"{('buyer', 'random-buyer'): {'profit': 9.688010215838007, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 2.477534702443056, 'count': 1}, ('seller', 'random-seller'): {'profit': 13.204353865297273, 'count': 5}}"
3,50,0.5003582927717714,25.576945434674112,49,25.499934764913895,0.9969890591526299,0.48596784540745,0.014390447364321324,1,"{('buyer', 'random-buyer'): {'profit': 9.241993731225953, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 3.3241513076142617, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.933789726073678, 'count': 5}}"
4,50,0.5060122984315865,23.7773475555666,48,23.49317043876851,0.9880484096834611,0.5107118656234575,0.004699567191871035,2,"{('buyer', 'random-buyer'): {'profit': 8.846513503345031, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 2.513053476728146, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.133603458695333, 'count': 5}}"
5,50,0.5066560131881721,26.07274451556632,48,25.913711330807224,0.9939004048973767,0.4489084131738683,0.05774760001430379,2,"{('buyer', 'random-buyer'): {'profit': 10.914326360695215, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 2.9222307074775813, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.077154262634428, 'count': 5}}"
6,50,0.49774913219619554,23.54892439041327,47,23.24528976800929,0.987106221185729,0.46844363952386836,0.029305492672327182,3,"{('buyer', 'random-buyer'): {'profit': 9.407469434838884, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 2.7918012347009116, 'count': 1}, ('seller', 'random-seller'): {'profit': 11.046019098469493, 'count': 5}}"
7,50,0.4846564424639159,25.176030058081288,45,24.614129977946753,0.9776811483447458,0.48577361408976005,0.0011171716258441267,5,"{('buyer', 'random-buyer'): {'profit': 10.435405386819758, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 1.8576171294749102, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.321107461652087, 'count': 5}}"
8,50,0.48214000874196883,24.883864239200317,49,24.66748610786248,0.9913044803147185,0.49620974325345907,0.01406973451149024,1,"{('buyer', 'random-buyer'): {'profit': 9.296196621134648, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 3.1578056640188525, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.21348382270898, 'count': 5}}"
9,50,0.493589519613954,23.268547720598058,48,23.076287894612797,0.9917373517121111,0.4702882534853143,0.023301266128639697,2,"{('buyer', 'random-buyer'): {'profit': 8.716495382268743, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 2.7874976513307117, 'count': 1}, ('seller', 'random-seller'): {'profit': 11.572294861013342, 'count': 5}}"
10,50,0.49372920505528395,23.724468405704354,46,23.434904303890722,0.987794706424528,0.4829029355366207,0.010826269518663223,4,"{('buyer', 'random-buyer'): {'profit': 10.092405136672333, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 1.7969420939469674, 'count': 1}, ('seller', 'random-seller'): {'profit': 11.545557073271421, 'count': 5}}"
11,50,0.5015200479166846,25.62075699163578,48,25.381732752955482,0.9906706800755992,0.4876061209606663,0.013913926956018285,2,"{('buyer', 'random-buyer'): {'profit': 10.086801872037256, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 3.031978759259482, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.262952121658744, 'count': 5}}"
12,50,0.49678566555589315,25.747225026460562,46,25.343610230821046,0.9843239496596344,0.45936645284068395,0.037419212715209205,4,"{('buyer', 'random-buyer'): {'profit': 10.300998429185894, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 2.825457469037356, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.217154332597795, 'count': 5}}"
13,50,0.4986157553254209,26.14974916709498,47,25.943258124069423,0.9921035172572366,0.4900147850903017,0.008600970235119187,3,"{('buyer', 'random-buyer'): {'profit': 9.895526847685552, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 3.1972776418677293, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.850453634516143, 'count': 5}}"
14,50,0.5008586206686173,25.417829276546176,47,25.132870238022633,0.98878900965841,0.49269481468006693,0.008163805988550377,3,"{('buyer', 'random-buyer'): {'profit': 10.40546778634048, 'count': 4}, ('buyer', 'ppobuyer'): {'profit': 2.587778442410389, 'count': 1}, ('seller', 'random-seller'): {'profit': 12.139624009271762, 'count': 5}}"
