round,period,step,bids,asks,cbid,cask,trade,price,bprofits,sprofits
0,0,31,"[0.03, 0.1, 0.39, 0.12]","[None, 0.52, 0.78, 0.59]",0.39,0.52,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,32,"[0.24, 0.08, 0.18, 0.26]","[None, 0.47, 0.94, 0.92]",0.26,0.47,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,33,"[0.41, 0.31, 0.38, 0.35]","[None, 0.91, 0.68, 0.89]",0.41,0.68,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,34,"[0.14, 0.53, 0.23, 0.37]","[None, 0.67, 0.78, 0.58]",0.53,0.58,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,35,"[0.27, 0.49, 0.31, 0.36]","[None, 0.65, 0.95, 0.86]",0.49,0.65,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,36,"[0.26, 0.09, 0.35, 0.24]","[None, 0.52, 0.68, 0.73]",0.35,0.52,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,37,"[0.42, 0.23, 0.02, 0.29]","[None, 0.59, 0.94, 0.63]",0.42,0.59,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,38,"[0.35, 0.49, 0.04, 0.15]","[None, 0.68, 0.98, 0.91]",0.49,0.68,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,39,"[0.37, 0.5, 0.35, 0.3]","[None, 0.94, 0.92, 0.77]",0.5,0.77,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,40,"[0.35, 0.25, 0.32, 0.13]","[None, 0.98, 0.85, 0.81]",0.35,0.81,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,41,"[0.5, 0.38, 0.39, 0.37]","[None, 0.91, 0.95, 0.58]",0.5,0.58,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,42,"[0.2, 0.14, 0.45, 0.19]","[None, 0.49, 0.85, 0.96]",0.45,0.49,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,43,"[0.42, 0.45, 0.05, 0.17]","[None, 0.97, 0.79, 0.78]",0.45,0.78,0,,"[0.62, 0.38, 0.76, 0.52]","[1.48, 0.27, 0.51, 0.46]"
0,0,44,"[0.22, 0.5, 0.31, 0.13]","[None, 0.5, 0.85, 0.59]",,,1,0.5,"[0.62, 0.45, 0.76, 0.52]","[1.48, 0.3, 0.51, 0.46]"
0,0,45,"[0.12, 0.21, 0.24, 0.26]","[None, 0.92, 0.9, 0.72]",0.26,0.72,0,,"[0.62, 0.45, 0.76, 0.52]","[1.48, 0.3, 0.51, 0.46]"
