round,eq_q,eq_p,eq_surplus,actual_trades,actual_total_profit,market_efficiency,avg_price,abs_diff_price,abs_diff_quantity,role_strat_perf,bot_details,buyer_vals,seller_vals
0,11,0.5627987751390938,5.12236772280455,11,5.096617334220069,0.9949729519671456,0.5981818181818181,0.03538304304272433,0,"{('buyer', 'random-buyer'): {'profit': 2.346243947267825, 'count': 4}, ('seller', 'random-seller'): {'profit': 2.293361875333794, 'count': 3}, ('seller', 'gd-seller'): {'profit': 0.4570115116184498, 'count': 1}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.61576404912112}, {'name': 'B1', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.4483839663062693}, {'name': 'B2', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.7597815077374559}, {'name': 'B3', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.5223144241029797}, {'name': 'S0', 'role': 'seller', 'strategy': 'random-seller', 'profit': 1.4820252787069903}, {'name': 'S1', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.30286451060446606}, {'name': 'S2', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.5084720860223377}, {'name': 'S3', 'role': 'seller', 'strategy': 'gd-seller', 'profit': 0.4570115116184498}]","[0.9945729508100742, 0.9452085569273816, 0.9386137400225631, 0.8770616228353421, 0.8743063408481944, 0.8527289774409812, 0.7593943432322221, 0.7324269998660294, 0.7100511477315901, 0.6732859015235005, 0.568593366029946, 0.5560938514745628, 0.5153433715856517, 0.4434622014543072, 0.41598109858214655, 0.37650187833488996]","[0.0457401912940675, 0.21960952859732377, 0.24367136002951695, 0.2791173378384751, 0.28251127140491233, 0.3226535757814824, 0.4161197653634558, 0.46462421799062165, 0.48337895978422646, 0.4894458321309499, 0.5570041842482416, 0.5600455926179514, 0.5611287826022586, 0.582754572832724, 0.6405699984968789, 0.6702943706501437]"
1,10,0.44237032563711354,4.598942563698649,10,4.59894256369865,1.0000000000000002,0.43500000000000005,0.007370325637113484,0,"{('buyer', 'random-buyer'): {'profit': 2.2116947749412987, 'count': 4}, ('seller', 'random-seller'): {'profit': 1.9361610723666798, 'count': 3}, ('seller', 'gd-seller'): {'profit': 0.4510867163906708, 'count': 1}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 1.089998463718152}, {'name': 'B1', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.7160580371095102}, {'name': 'B2', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.07911818957095262}, {'name': 'B3', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.3265200845426838}, {'name': 'S0', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.3096752645744016}, {'name': 'S1', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.8620379723920331}, {'name': 'S2', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.7644478354002451}, {'name': 'S3', 'role': 'seller', 'strategy': 'gd-seller', 'profit': 0.4510867163906708}]","[0.9944942896720068, 0.8753753567945355, 0.7464419611247047, 0.6570155861982536, 0.6464076607525426, 0.6400781234179791, 0.6257652489011212, 0.4742750195624322, 0.4527233389467702, 0.4491181895709526, 0.4068372621415236, 0.34664641398522383, 0.3390225504040134, 0.3375237657120289, 0.337285822922567, 0.31528728627597674]","[0.023973760542414745, 0.029453508100900735, 0.06960127329903357, 0.08769219077356172, 0.10288605780379168, 0.18611522469234065, 0.27279805891698855, 0.3707234621265648, 0.3838862132837784, 0.4356224617032745, 0.44592144729286415, 0.5239487854192655, 0.6034860650958251, 0.6273477666350957, 0.6459588533746312, 0.6556564148355273]"
2,12,0.5294795199182558,6.06844771921615,11,5.887733409646588,0.9702206696125406,0.5290909090909091,0.0003886108273467581,1,"{('buyer', 'random-buyer'): {'profit': 2.7862020127445932, 'count': 4}, ('seller', 'random-seller'): {'profit': 1.810851806372464, 'count': 3}, ('seller', 'gd-seller'): {'profit': 1.2906795905295305, 'count': 1}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.5148388315648877}, {'name': 'B1', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.4400153588721925}, {'name': 'B2', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.762109954641239}, {'name': 'B3', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 1.0692378676662742}, {'name': 'S0', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.3097366753443833}, {'name': 'S1', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.6208075831956166}, {'name': 'S2', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.8803075478324639}, {'name': 'S3', 'role': 'seller', 'strategy': 'gd-seller', 'profit': 1.2906795905295305}]","[0.9802650529828181, 0.9410932982127169, 0.9321112470418138, 0.9204752970189649, 0.8928299419815175, 0.8440316256601246, 0.7958915896783471, 0.6133583172377499, 0.595743067943927, 0.5896131521369199, 0.5737455333521708, 0.5608586229982456, 0.5174643400893724, 0.5166570416344426, 0.475359763411604, 0.30505871869412327]","[0.03003199617855021, 0.04144895537106874, 0.05688808124144968, 0.07896689795127203, 0.08689126619437536, 0.2534654302777478, 0.3492538633234924, 0.3977434614333147, 0.4297584678241824, 0.47276918979461047, 0.4762510006008356, 0.4981004168382659, 0.5212509935079418, 0.5401623903471856, 0.6663465902811635, 0.6696417775383803]"
3,13,0.4786168392558213,7.420437454808384,13,7.411164853290261,0.9987503969173523,0.46153846153846156,0.01707837771735976,0,"{('buyer', 'random-buyer'): {'profit': 3.894604519904848, 'count': 4}, ('seller', 'random-seller'): {'profit': 2.4994066882172854, 'count': 3}, ('seller', 'gd-seller'): {'profit': 1.0171536451681273, 'count': 1}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 1.0387029680037863}, {'name': 'B1', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.8424464966330196}, {'name': 'B2', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 0.8768080241589206}, {'name': 'B3', 'role': 'buyer', 'strategy': 'random-buyer', 'profit': 1.1366470311091215}, {'name': 'S0', 'role': 'seller', 'strategy': 'random-seller', 'profit': 1.2451168908167658}, {'name': 'S1', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.4862281989416146}, {'name': 'S2', 'role': 'seller', 'strategy': 'random-seller', 'profit': 0.768061598458905}, {'name': 'S3', 'role': 'seller', 'strategy': 'gd-seller', 'profit': 1.0171536451681273}]","[0.923699812882752, 0.8850018665586366, 0.8792508620764059, 0.8571575352755834, 0.8538825954184472, 0.8396262147868152, 0.8090321539676697, 0.762937071566823, 0.751719050728179, 0.6798832102793815, 0.6377330551992012, 0.5392256158577212, 0.48472807682535435, 0.4754554753072319, 0.4400188192638834, 0.3500995466707557]","[0.016104975258307886, 0.03355533816267889, 0.033914057196303714, 0.06698775418170705, 0.07755265092327233, 0.08490811213796343, 0.11678404687667839, 0.2518595465866377, 0.2606954723452782, 0.3419473040996616, 0.3591887286502923, 0.36743607850951754, 0.47250560168628836, 0.6122322272188012, 0.6583733024517222, 0.6809545522178058]"
