r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
0,0,49,"[0.38, 0.24, None, 0.35]","[0.49, 0.87, None, 0.46]",0.38,0.46,False,,,,,
1,0,0,"[0.0, 0.0, None, 0.95]","[1.0, 0.09, None, 0.06]",,,True,0.51,0.45,0.45,B3,S3
1,0,1,"[0.09, 0.24, None, 0.91]","[0.9, 0.05, None, 0.08]",,,True,0.48,0.43,0.48,B3,S1
1,0,2,"[0.19, 0.51, None, 0.87]","[0.8, 0.75, None, 0.08]",,,True,0.47,0.39,0.39,B3,S3
1,0,3,"[0.28, 0.77, None, 0.66]","[0.7, 0.65, None, 0.26]",,,True,0.51,0.34,0.25,B1,S3
1,0,4,"[0.38, 0.43, None, 0.66]","[0.6, 0.19, None, 0.3]",,,True,0.43,0.23,0.37,B3,S1
1,0,5,"[0.47, 0.63, None, 0.35]","[0.5, 0.65, None, 0.3]",,,True,0.46,0.38,0.16,B1,S3
1,0,6,"[0.57, 0.57, None, 0.35]","[0.4, 0.32, None, 0.38]",,,True,0.45,0.25,0.34,B1,S1
1,0,7,"[0.66, 0.17, None, 0.35]","[0.3, 0.17, None, 0.38]",,,True,0.41,0.53,0.29,B0,S1
1,0,8,"[0.72, 0.34, None, 0.35]","[0.2, 0.25, None, 0.38]",,,True,0.46,0.44,0.46,B0,S0
1,0,9,"[0.59, 0.18, None, 0.35]","[0.42, 0.72, None, 0.38]",,,True,0.48,0.17,0.1,B0,S3
1,0,10,"[0.63, 0.45, None, 0.35]","[0.36, 0.63, None, 0.41]",,,True,0.5,0.14,0.14,B0,S0
1,0,11,"[0.38, 0.43, None, 0.35]","[0.44, 0.5, None, 0.41]",,,True,0.42,0.09,0.01,B1,S3
1,0,12,"[0.38, 0.01, None, 0.35]","[0.44, 0.96, None, 0.46]",0.38,0.44,False,,,,,
1,0,13,"[0.38, 0.17, 0.44, 0.35]","[0.44, 0.58, 0.38, 0.46]",,,True,0.41,0.44,0.41,B2,S2
1,0,14,"[0.38, 0.41, None, 0.35]","[0.44, 0.23, None, 0.46]",,,True,0.32,0.15,0.17,B1,S1
1,0,15,"[0.38, 0.33, None, 0.35]","[0.44, 0.48, None, 0.46]",0.38,0.44,False,,,,,
1,0,16,"[0.38, 0.22, 0.44, 0.35]","[0.44, 0.65, 0.38, 0.46]",,,True,0.41,0.4,0.29,B2,S2
1,0,17,"[0.38, 0.09, None, 0.35]","[0.44, 0.47, None, 0.46]",0.38,0.44,False,,,,,
1,0,18,"[0.38, 0.1, 0.44, 0.35]","[0.44, 0.54, 0.38, 0.46]",,,True,0.41,0.32,0.15,B2,S2
1,0,19,"[0.38, 0.09, None, 0.35]","[0.44, 0.85, None, 0.46]",0.38,0.44,False,,,,,
1,0,20,"[0.38, 0.1, 0.44, 0.35]","[0.44, 0.87, 0.99, 0.46]",,,True,0.44,0.24,0.0,B2,S0
1,0,21,"[0.38, 0.4, None, 0.35]","[0.49, 0.24, None, 0.46]",,,True,0.32,0.12,0.14,B1,S1
1,0,22,"[0.38, 0.41, None, 0.35]","[0.49, 0.77, None, 0.46]",0.41,0.46,False,,,,,
1,0,23,"[0.38, 0.3, 0.01, 0.35]","[0.49, 0.82, 0.99, 0.46]",0.41,0.46,False,,,,,
1,0,24,"[0.38, 0.11, 0.01, 0.35]","[0.49, 0.94, 0.99, 0.46]",0.41,0.46,False,,,,,
1,0,25,"[0.38, 0.23, 0.01, 0.35]","[0.49, 0.43, 0.99, 0.46]",,,True,0.42,0.02,0.03,B1,S1
1,0,26,"[0.38, 0.09, None, 0.35]","[0.49, 0.48, None, 0.46]",0.38,0.46,False,,,,,
1,0,27,"[0.38, 0.23, 0.01, 0.35]","[0.49, 0.76, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,28,"[0.38, 0.29, 0.01, 0.35]","[0.49, 0.48, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,29,"[0.38, 0.36, 0.01, 0.35]","[0.49, 0.56, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,30,"[0.38, 0.06, 0.01, 0.35]","[0.49, 0.8, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,31,"[0.38, 0.25, 0.01, 0.35]","[0.49, 0.55, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,32,"[0.38, 0.17, 0.01, 0.35]","[0.49, 0.76, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,33,"[0.38, 0.24, 0.01, 0.35]","[0.49, 0.87, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,34,"[0.38, 0.15, 0.01, 0.35]","[0.49, 0.63, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,35,"[0.38, 0.01, 0.01, 0.35]","[0.49, 0.74, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,36,"[0.38, 0.28, 0.01, 0.35]","[0.49, 0.49, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,37,"[0.38, 0.37, 0.01, 0.35]","[0.49, 0.75, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,38,"[0.38, 0.06, 0.01, 0.35]","[0.49, 0.77, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,39,"[0.38, 0.21, 0.01, 0.35]","[0.49, 0.64, 0.99, 0.46]",0.38,0.46,False,,,,,
1,0,40,"[0.38, 0.11, 0.01, 0.35]","[0.49, 0.62, 0.99, 0.46]",0.38,0.46,False,,,,,
